ID,Title,Journal,Year,Cited,Last Updated,Type of survey,Field of application,Site name,Country,Duration (days),# snapshots,Frequency (snapshot/day),ERT layout,Buried,Surface (m),Electrode spacing (m) ,Config Elec,Nb Elec,Resistivimeter
Hilbich et al. (2009),Applicability of Electrical Resistivity Tomography Monitoring to Coarse Blocky and Ice-rich Permafrost Lforms,Permafrost and Periglacial Processes,2009,118,6/8/2021,Semi-permanent study,Permafrost,Murtèl,Switzerland,700,4,175,2D surface,No,235,5,48,48,Syscal
Johnson et al. (2009),Data-domain correlation approach for joint hydrogeologic inversion of time-lapse hydrogeologic and geophysical data,Geophysics,2009,29,6/10/2021,,Hydrogeology,,USA,,,,,,,,,,
Jones et al. (2009),Imaging and monitoring tree‐induced subsidence using electrical resistivity imaging,Near Surface Geophysics,2009,19,6/9/2021,Semi-permanent study,Vegetation,,UK,540,18,30,2D surface,No,2 x 48 m,0.75,2 lines x 32 elec,64,Campus Tigre™ 32/64
Kim et al. (2009),4-D inversion of DC resistivity monitoring data acquired over a and dynamically changing earth model,Journal of Applied Geophysics,2009,192,6/10/2021,,Hydrogeology,,South-Korea,,,,,,,,,1,
Koestel et al. (2009),Imaging Brilliant Blue Stained Soil by Means of Electrical Resistivity Tomography,Vadose Zone Journal,2009,28,6/10/2021,,Contaminant monitoring,,Germany,,,,,,,,,1,
Koestel et al. (2009),Noninvasive 3-D Transport Characterization in a Sy Soil Using ERT: 1. Investigating the Validity of ERT-derived Transport Parameters,Vadose Zone Journal,2009,43,6/10/2021,,Contaminant monitoring,,Germany,,,,,,,,,1,
Koestel et al. (2009),Noninvasive 3-D Transport Characterization in a Sy Soil Using ERT: 2. Transport Process Inference,Vadose Zone Journal,2009,30,6/10/2021,,Contaminant monitoring,,Germany,,,,,,,,,1,
Kuras et al. (2009),Monitoring hydraulic processes with automated time-lapse electrical resistivity tomography (ALERT),Applied Geophysics,2009,103,6/10/2021,Artificial conditions,Hydrogeology,,UK,1,,#DIV/0!,,,,,,1,ALERT
Legaz et al. (2009),"A case study of resistivity and self‐potential signatures of hydrothermal instabilities, Inferno Crater Lake, Waimangu, New Zealand",Geophysical Research Letters,2009,42,5/26/2021,,Volcanology,,Nouvelle-Zele,,,,,,,,,,
Liu et al. (2009),Experimental research on mine floor water hazard early warning based on response of geoelectric field in groundwater seepage,Chin J Rock Mech Eng,2009,25,5/28/2021,,Mining environment,,China,,,,,,,,,,
Nguyen et al. (2009),Characterization of seawater intrusion using 2D electrical imaging,Near Surface Geophysics,2009,132,5/28/2021,Semi-permanent study,Saline intrusion,Andarax river,Espagne,365,365,1,2D surface + borehole,Yes,1600,10 to 1m ,1 line x 160 elec + 3 boreholes x 42,288,AGI SuperSting  + ALERT
Ogilvy et al. (2009),Automated monitoring of coastal aquifers with electrical resistivity tomography,Near Surface Geophysics,2009,108,5/28/2021,Semi-permanent study,Saline intrusion,Andarax river,Espagne,365,365,1,2D surface ,Yes,1600,10,1 line of 166 elec,166,ALERT
Olofsson et al. (2009),Monitoring the impact of de-icing salt on roadside soils with time-lapse resistivity measurements,Environmental Geology,2009,27,6/10/2021,Semi-permanent study,Contaminant monitoring,Kista,Sweden,365,12,30,2D surface,No,20,0.5,41 elec,41,ABEM
Rucker et al. (2009),Monitoring of a secondary recovery application of leachate injection into a heap,Hydrometallurgy,2009,17,5/28/2021,Artificial conditions,Mining environment,,USA,,,,,,,,,,
Sentenac et al. (2009),Clay fine fissuring monitoring using miniature geo-electrical resistivity arrays,Environmental Earth Science,2009,43,6/8/2021,,Geotechnics,,Sweden,,,,,,,,,,
Sjodahl et al. (2009),Embankment dam seepage evaluation from resistivity monitoring data,Near Surface Geophysics,2009,61,6/8/2021,Semi-permanent study,Geotechnics,Sadva dam,Sweden,1825,1825,1,2D surface,Yes,600,6,1 line x 128 elec,128,ABEM
Srayeddin et al. (2009),Estimation of the spatial variability of root water uptake of maize  sorghum at the field scale by electrical resistivity tomography,Plant and Soil,2009,105,6/9/2021,Regular measurements,Vegetation,,France,90,,,,,,,,1,
Anterrieu et al. (2010),Geophysical characterization of the large-scale internal structure of a waste rock pile from a hard rock mine,Bulletin of Engineering Geology,2010,56,5/28/2021,,Mining environment,,Canada,,,,,,,,,,
Arora et al. (2010),Electrical structure of an unsaturated zone related to hard rock aquifer,Current Science,2010,10,6/10/2021,Semi-permanent study,Hydrogeology,,Inde,365,24,15,2D surface,No,94,2,1 line x 48,48,Syscal
Basso et al. (2010),Two-dimensional spatial and temporal variation of soil physical properties in tillage systems using electrical resistivity tomography,Agronomy Journal,2010,41,6/10/2021,,Hydrogeology,,Italy,,,,,,,,,,
Brunet et al. (2010),"Monitoring soil water content  deficit using Electrical Resistivity Tomography (ERT)–A case study in the Cevennes area, France",Journal of Hydrology,2010,237,6/10/2021,Semi-permanent study,Hydrogeology,,France,660,10,66,2D surface,No,24,0.5,1 line x 48,48,Syscal
Cardenas et al. (2010),Geoelectrical imaging of hyporheic exchange and mixing of river water and groundwater in a large regulated river,Environmental Science and Technology,2010,71,6/10/2021,,Hydrogeology,,USA,,,,,,,,,,
Chambers et al. (2010),Hydrogeophysical imaging of deposit heterogeneity and groundwater chemistry changes during DNAPL source zone bioremediation,Journal of Contaminant Hydrology,2010,69,5/27/2021,Semi-permanent study,Contaminant monitoring,,UK,600,7,86,2D borehole,Yes,5 x 4 (x2),0.2,14 boreholes x 25 elec,350,
Clément et al. (2010),Improvement of electrical resistivity tomography for leachate injection monitoring,Waste Management,2010,98,5/27/2021,Artificial conditions,Contaminant monitoring,class 2 landfill,France,2,30,15,"2,5D surface",No,168,1,72 + 24 +  2 x 36,168,Syscal
Doetsch et al. (2010),Structural joint inversion of time-lapse crosshole ERT and GPR traveltime data,Geophysical Research Letters,2010,75,6/10/2021,Numerical work,Hydrogeology,,Switzerland,,,,,,,,,,
Hayley et al. (2010),Compensating for temperature variations in time-lapse electrical resistivity difference imaging,Geophysics,2010,47,6/8/2021,,Permafrost,,Canada,,,,,,,,,1,
Henderson et al. (2010),"Marine electrical resistivity imaging of submarine groundwater discharge: sensitivity analysis  application in Waquoit Bay, Massachusetts, USA",Hydrogeology Journal,2010,81,5/28/2021,,Saline intrusion,,USA,,,,,,,,,,
Hilbich (2010) a,Time-lapse refraction seismic tomography for the detection of ground ice degradation - Lapires,The Cryosphere,2010,60,6/8/2021,Semi-permanent study,Permafrost,Lapires,Switzerland,60,2,30,2D surface,No,170,4,42 elec,42,
Hilbich (2010) b,Time-lapse refraction seismic tomography for the detection of ground ice degradation - Schilthorn,The Cryosphere,2010,60,6/8/2021,Semi-permanent study,Permafrost,Schilthorn,Switzerland,365,11,33,2D surface,Yes,58 m ,2,1 line 30 elec x 2 m,30,Syscal
Irving et al. (2010),Stochastic inversion of tracer test and electrical geophysical data to estimate hydraulic conductivities,Water Resources Research,2010,107,6/10/2021,,Hydrogeology,,Switzerland,,,,,,,,,,
Jayawickreme et al. (2010),Hydrological consequences of land-cover change: Quantifying the influence of plants on soil moisture with time-lapse electrical resistivity,Geophysics,2010,53,6/9/2021,Semi-permanent study,Vegetation,,USA,730,10,73,2D surface,No,125,1.5,1 line x 84 elec,84,AGI SuperSting
Johnson et al. (2010),Improved hydrogeophysical characterization and monitoring through parallel modeling and inversion of time-domain resistivity and induced-polarization data,Geophysics,2010,131,6/10/2021,Semi-permanent study,Hydrogeology,Brandywine,USA,540,200,3,3D surface + borehole,Yes,20 x 20 x 16,1,7 boreholes x 15 + 3 surface lines,165,AGI SuperSting
Kiessling et al. (2010),Geoelectrical methods for monitoring geological CO2 storage: First results from cross-hole and surface–downhole measurements from the CO2SINK test site at Ketzin (Germany),International Journal of Greenhouse Gas Control,2010,145,6/10/2021,Semi-permanent study,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,365,68,5,3D borehole ,Yes,150 m x 100 m,10,15 electrodes in three different boreholes,45,VERA
Krautblatter et al. (2010),"Temperature‐calibrated imaging of seasonal changes in permafrost rock walls by quantitative electrical resistivity tomography (Zugspitze, German/Austrian Alps)",Journal of Geophysical Research,2010,122,6/8/2021,Semi-permanent study,Permafrost,Zugspitze,Austria,210,7,30,2D surface,No,276,"1,5 -> 5",61 + 2 x 41,127,ABEM
Lebourg et al. (2010),landslides triggered factors analysed by time lapse electrical survey and multidimensional statistical approach,Engineering Geology,2010,50,6/8/2021,Semi-permanent study,Landslide,Vence ,France,90,90,1,2D surface,No,115,5,24,24,Syscal
Lehikoinen et al. (2010),Dynamic inversion for hydrological process monitoring with electrical resistance tomography under model uncertainties,Water Resources Research,2010,52,6/10/2021,Numerical work,Hydrogeology,,Finl,,,,,,,,,,
Leucci (2010),The use of three geophysical methods for 3D images of total root volume of soil in urban environments,Exploration Geophysics,2010,17,6/9/2021,,Vegetation,,Italy,,,,,,,,,,
Loke et al. (2010),Fast computation of optimized electrode arrays for 2D resistivity surveys,Computers and Geosciences,2010,83,6/10/2021,Numerical work,Hydrogeology,,UK,1,,#DIV/0!,,,,,,1,ALERT
Mitchell (2010),Informed Electrical Resistivity Imaging for Monitoring Infiltration Dynamics in the near Surface,ProQuest Dissertations and Theses Global,2010,5,6/10/2021,,Hydrogeology,,USA,,,,,,,,,,
Monego et al. (2010),A tracer test in a shallow heterogeneous aquifer monitored via time-lapse surface electrical resistivity tomography,Geophysics,2010,59,6/10/2021,Artificial conditions,Contaminant monitoring,,Italy,,,,,,,,,1,
Morrow et al. (2010),Monitoring of tidal influences on the saline interface using resistivity traversing and cross-borehole resistivity tomography,Journal of Hydrology,2010,45,5/28/2021,,Saline intrusion,,Nouvelle-Zele,,,,,,,,,,
Muller et al. (2010),Imaging and characterization of solute transport during two tracer tests in a shallow aquifer using electrical resistivity tomography and multilevel groundwater samplers,Water Resources Research,2010,101,5/27/2021,Semi-permanent study,Contaminant monitoring,,Germany,80,80,1,2d surface + borehole,Yes,20 x 10 ,0.5,(1 line x 32 + 5 x 16 ) x 2,220,
Niesner (2010),Subsurface resistivity changes and triggering influences detected by continuous geoelectric monitoring,The Leading Edge,2010,14,6/8/2021,Semi-permanent study,Landslide,Gschliefgraben,Austria,31,31,1,2D surface,No,830,10,1 line x 84 elec,84,AGI SuperSting
Nijland et al. (2010),Detection of soil moisture and vegetation water abstraction in a Mediterranean natural area using electrical resistivity tomography,Catena,2010,86,6/9/2021,,Vegetation,,France,,,,,,,,,1,
Sass et al. (2010),"Wetting and drying of masonry walls: 2D-resistivity monitoring of driving rain experiments on historic stonework in Oxford, UK",Journal of Applied Geophysics,2010,59,6/8/2021,,Geotechnics,,UK,,,,,,,,,,
Sjodahl et al. (2010),Using the resistivity method for leakage detection in a blind test at the Røssvatn embankment dam test facility in Norway,Bulletin of Engineering Geology,2010,50,6/8/2021,Semi-permanent study,Geotechnics,Rossvatn,Norvège,31,31,1,2D surface,Yes,42,0.67,1 line x 63 elec,63,ABEM
Ward et al. (2010),Imaging hyporheic zone solute transport using electrical resistivity,Hydrological Processes,2010,113,6/10/2021,,Hydrogeology,,USA,,,,,,,,,1,
Ward et al. (2010),Characterizing hyporheic transport processes—Interpretation of electrical geophysical data in coupled stream–hyporheic zone systems during solute tracer studies,Advances in water ressources,2010,52,6/10/2021,,Contaminant monitoring,,USA,,,,,,,,,,
Wilkinson et al. (2010),Predicting the movements of permanently installed electrodes on an active landslide using time-lapse geoelectrical resistivity data only,Geophysical Journal International,2010,80,6/8/2021,Semi-permanent study,Landslide,Hollin Hill,UK,1068,1068,1,3D surface,Yes,150 x 40,5,5 lines x 32 elec,160,ALERT
Wilkinson et al. (2010),High-resolution Electrical Resistivity Tomography monitoring of a tracer test in a confined aquifer,Journal of Applied Geophysics,2010,96,5/27/2021,Semi-permanent study,Contaminant monitoring,,UK,40,40,1,3D borehole,Yes,10 x 10 x 10,0.5,14 borehoes x 16 elec,288,ALERT
Arora et al. (2011),Characterization of recharge through complex vadose zone of a granitic aquifer by time-lapse electrical resistivity tomography,Journal of Applied Geophysics,2011,25,6/10/2021,Semi-permanent study,Hydrogeology,,Inde,365,24,15,2d surface,No,96m,2,1 line x 48,48,Syscal
Baharuddin et al. (2011),"Time-lapse resistivity investigation of salinity changes at an ex-promontory l: A case study of Carey Isl, Selangor, Malaysia",Environmental Monitoring and Assessment,2011,22,6/10/2021,,Contaminant monitoring,,Malaisie,,,,,,,,,,ABEM
Camporese et al. (2011),Assessment of local hydraulic properties from electrical resistivity tomography monitoring of a three-dimensional synthetic tracer test experiment,Water Resources Research,2011,47,6/10/2021,Numerical work,Contaminant monitoring,,Italy,,,,,,,,,,
Cardenas et al. (2011),Geoelectrical imaging of hyporheic exchange and mixing of river water and groundwater in a large regulated river,Environmental Science & Technology,2011,71,6/10/2021,,Hydrogeology,,USA,,,,,,,,,,
Celano et al. (2011),Evaluation of soil water content in tilled and cover-cropped olive orchards by the geoelectrical technique,Geoderma,2011,61,6/9/2021,,Vegetation,,Italy,,,,,,,,,,
Chambers et al. (2011),"Three-dimensional geophysical anatomy of an active landslide in Lias Group mudrocks, Clevel Basin, UK",Geomorphology,2011,138,6/8/2021,Semi-permanent synthetic/suggested,Landslide,Hollin Hill,UK,1,,#DIV/0!,3D surface,Yes,150 x 40,5,5 lines x 32 elec,160,ALERT
Clément et al. (2011),Contribution of 3-D time-lapse ERT to the study of leachate recirculation in a landfill,Waste Management,2011,59,5/27/2021,Artificial conditions,Contaminant monitoring,experimental landfill Valence,France,1,15,15,3D surface,No,72 + 24 + 2 x 36,1,168,168,Syscal
Comina et al. (2011),3D-electrical resistivity tomography monitoring of salt transport in homogeneous and layered soil samples,Acta Geotechnica,2011,30,6/10/2021,Laboratory setup,Contaminant monitoring,,Italy,,,,,,,,,,
Coscia et al. (2011),3D crosshole ERT for aquifer characterization and monitoring of infiltrating river water,Geophysics,2011,98,6/10/2021,Semi-permanent study,Hydrogeology,Widen study site,Switzerlandand,31,60,1,3D borehole,Yes,20 x 10,0.7,18 boreholes x 10 elec,180,Syscal
Davidson et al. (2011),Carbon inputs and water uptake in deep soils of an eastern Amazon forest,Forest Science,2011,75,6/9/2021,,Vegetation,,Brésil,,,,,,,,,,
Flores-Orozco et al. (2011),Using complex resistivity imaging to infer biogeochemical processes associated with bioremediation of an uranium‐contaminated aquifer,Journal of Geophysical Research,2011,101,5/27/2021,,Contaminant monitoring,,USA,,,,,,,,,,
Fowler et al. (2011),Estimation of aquifer transport parameters from resistivity monitoring data within a coupled inversion framework,Journal of Hydrology,2011,19,6/10/2021,Numerical work,Hydrogeology,,USA,,,,,,,,,,
Garré et al. (2011),Three-dimensional electrical resistivity tomography to monitor root zone water dynamics,Vadose Zone Journal,2011,103,6/9/2021,,Vegetation,,Germany,,,,,,,,,,
Hauck et al. (2011),A new model for estimating subsurface ice content based on combined electrical and seismic data sets,The Cryosphere,2011,96,6/8/2021,Numerical work,Permafrost,,Switzerland,1,,#DIV/0!,,,,,,1,
Hayley et al. (2011),Simultaneous time-lapse electrical resistivity inversion,Journal of Applied Geophysics,2011,62,6/10/2021,Regular measurements,Hydrogeology,,Canada,1,,#DIV/0!,,,,,,1,
Hilbich et al. (2011),Automated Time-lapse ERT for Improved Process Analysis and Monitoring of Frozen Ground,Permafrost and Periglacial Processes,2011,76,6/8/2021,Semi-permanent study,Permafrost,Schilthorn,Switzerland,365,365,1,2D surface,Yes,58 m ,2,1 line 30 elec x 2 m,30,Syscal + A-ERT Geotom
Johansson et al. (2011),An alternative methodology for the analysis of electrical resistivity data from a soil gas study,Geophysical Journal International,2011,20,6/10/2021,Artificial conditions,Gas Dynamics,,Sweden,5,,#DIV/0!,3d surface,No,16 x 20,1,9 lines x 21,189,ABEM
Jolly et al. (2011),Resolution of electrical imaging of fluid movement in landfills,Waste and Resource Management,2011,17,6/10/2021,,Contaminant monitoring,,UK,,,,,,,,,1,
Karaoulis et al. (2011),4D active time constrained resistivity inversion,Journal of Applied Geophysics,2011,109,6/10/2021,,Hydrogeology,,Grece,,,,,,,,,1,
Karaoulis et al. (2011),Time-lapse three-dimensional inversion of complex conductivity data using an active time constrained (ATC) approach,Geophysical Journal International,2011,86,6/10/2021,,Hydrogeology,,USA,,,,,,,,,1,
Kelly et al. (2011),Better placement of soil moisture point measurements guided by 2D resistivity tomography for improved irrigation scheduling,Soil Research,2011,19,6/9/2021,,Vegetation,,USA,,,,,,,,,,
Kim et al. (2011),Time-lapse inversion of 2D resistivity monitoring data with a spatially varying cross-model constraint,Journal of Applied Geophysics,2011,28,6/10/2021,Numerical work,Hydrogeology,,South-Korea,,,,,,,,,,
Maqsoud et al. (2011),Field investigation of a suction break designed to control slope-induced desaturation in an oxygen barrier,Canadian Geotechnical Journal,2011,13,5/28/2021,Artificial conditions,Mining environment,,Canada,,,,,,,,,,
Masciopinto et al. (2011),Modeling unsaturated-saturated flow and nickel transport in fractured rocks,Vadose Zone Journal,2011,14,6/10/2021,Artificial conditions,Contaminant monitoring,,Italy,,,,,,,,,,
Mitchell et al. (2011),Inversion of time-lapse electrical resistivity imaging data for monitoring infiltration,The Leading Edge,2011,14,6/10/2021,,Hydrogeology,,USA,,,,,,,,,,
Musgrave et al. (2011),Revealing the temporal dynamics of subsurface temperature in a wetlandand using time-lapse geophysics,Journal of Hydrology,2011,43,6/10/2021,Semi-permanent study,Hydrogeology,,UK,365,21,17,2D surface,Yes,60,1,1 line x 62 elec,62,
Nenna et al. (2011),Application of an extended Kalman filter approach to inversion of time-lapse electrical resistivity imaging data for monitoring recharge,Water Resources Research,2011,35,6/10/2021,Semi-permanent study,Hydrogeology,Harkin Slough Recharge Pond,USA,130,130,1,2D surface,Yes,20 m x 2 + 15 m,0.5,2 lines x 40 elec + 1 line x 30 elec,110,
Pidlisecky et al. (2011),The use of wavelet analysis to derive infiltration rates from time‐lapse one‐dimensional resistivity records,Vadose Zone Journal,2011,16,6/10/2021,Semi-permanent study,Hydrogeology,Harkin Slough Recharge Pond,USA,42,2000,0,1D borehole,Yes,2,0.085,1 borehole x 35 elec,35,
Peter-Borie et al. (2011),Electrical resistivity monitoring with buried electrodes and cables: Noise estimation with repeatability tests,Near Surface Geophysics,2011,14,6/10/2021,Semi-permanent study,Hydrogeology,,France,365,12,30,2D surface,Yes,118,2.5,1 line x 48,48,Syscal
Roqvist et al. (2011),Mapping landfill gas migration using resistivity monitoring,Waste and Resource Management,2011,28,6/10/2021,,Gas Dynamics,,Sweden,,,,,,,,,1,
Rucker et al. (2011),Environmental monitoring of leaks using time-lapsed long electrode electrical resistivity,Journal of Applied Geophysics,2011,55,6/10/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
Rucker et al. (2011),The simulation of finite ERT electrodes using the complete electrode model,Geophysics,2011,78,5/28/2021,Semi-permanent synthetic/suggested,Saline intrusion,,Germany,1,,#DIV/0!,,,,,,1,
Santarato et al. (2011), Three-dimensional Electrical Resistivity Tomography to control the injection of exping resins for the treatment  stabilization of foundation soils,Engineering Geology,2011,62,6/8/2021,,Geotechnics,,Italy,,,,,,,,,,
Schmidt-Hattenberger et al. (2011),Application of a Vertical Electrical Resistivity Array (VERA) for monitoring CO2 migration at the Ketzin site: First performance evaluation,Energy Procedia,2011,67,6/10/2021,Semi-permanent study,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,730,104,7,3D borehole,Yes,150 m x 100 m,10,3 wells x 15 elec,45,VERA
Turner et al. (2011),"Resistivity monitoring of the tephra barrier at Crater Lake, Mount Ruapehu, New Zealand",Journal of Applied Geophysics,2011,2,5/26/2021,,Volcanology,,Nouvelle-Zele,,,,,,,,,,
White (2011),Geophysical monitoring of the Weyburn CO2 flood: Results during 10 years of injection,Energy Procedia,2011,57,6/10/2021,Semi-permanent synthetic/suggested,Gas Dynamics,Weyburn,Canada,1,,#DIV/0!,,,,,,1,
Wilkinson et al. (2011) a,Long-term time-lapse geoelectrical monitoring - Hollin Hill,First Break,2011,28,6/10/2021,Semi-permanent study,Landslide,Hollin Hill,UK,1068,1068,1,3D surface,Yes,150 x 40,5,5 lines x 32 elec,160,ALERT
Wilkinson et al. (2011) b ,Long-term time-lapse geoelectrical monitoring - Great Railway Nottingham,First Break,2011,28,6/10/2021,Semi-permanent study,Hydrogeology,Great Central Railway Nottingham,UK,480,480,1,2D surface,No,30,1,1 x 32,32,ALERT
Wiwattanachang et al. (2011),Monitoring crack development in fiber concrete beam by using electrical resistivity imaging,Journal of Applied Geophysics,2011,35,6/8/2021,,Geotechnics,,Thailande,,,,,,,,,,
Adam et al. (2012),Detecting soil salinity changes in irrigated Vertisols by electrical resistivity prospection during a desalinisation experiment,Agricultural Water Management,2012,23,6/10/2021,,Contaminant monitoring,,Niger,,,,,,,,,,
André et al. (2012)," High-resolution imaging of a vineyard in south of France using ground-penetrating radar, electromagnetic induction and electrical resistivity tomography",Journal of Applied Geophysics,2012,93,6/9/2021,,Vegetation,,France,,,,,,,,,,
Bechtold et al. (2012),Upward Transport in a Three-Dimensional Heterogeneous Laboratory Soil under Evaporation Conditions,Vadose Zone Journal,2012,20,6/10/2021,Laboratory setup,Vegetation,Sbox 1m x 1m x 1m,Germany,40,80,2,3D surface,Yes,1 x 1 x 1,0.1,283,283,"RESECS, GeoServe"
Bellmunt et al. (2012),Time-lapse cross-hole electrical resistivity tomography monitoring effects of an urban tunnel,Journal of Applied Geophysics,2012,25,6/8/2021,Semi-permanent study,Geotechnics,,Espagne,31,31,1,2D borehole,Yes,30 x 15,1,2 boreholes x 24,48,
Bergmann et al. (2012),"Surface-downhole electrical resistivity tomography applied to monitoring of CO2 storage at Ketzin, Germany",Geophysics,2012,118,6/10/2021,Semi-permanent study,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,1100,200,6,3D borehole,Yes,150 m x 100 m,10,3 wells x 15 elec,45,VERA
Bièvre et al. (2012),"Application of geophysical measurements for assessing the role of fissures in water infiltration within a clay landslide (Trieves area, French Alps)",Hydrogeological Processes,2012,85,6/8/2021,Regular measurements,Landslide,Avignonet,France,498,4,0,2D surface,No,31.5,0.5,64,64,?
Breen et al. (2012),Bench-scale experiments to evaluate electrical resistivity tomography as a monitoring tool for geologic CO2 sequestration,International Journal of Greenhouse Gas Control,2012,41,6/10/2021,Laboratory setup,Gas Dynamics,,USA,,,,,,,,,,
Cassiani et al. (2012),Noninvasive Monitoring of Soil Static Characteristics and Dynamic and States: A Case Study Highlighying Vegetation Effects on Agricultural Land,Vadose Zone Journal,2012,57,6/9/2021,Artificial conditions,Vegetation,Rio Mannu Catchment,Italy,5,5,1,2D surface,No,"2 x 4,6",0.2,2 x 24,48,?
Coscia et al. (2012),Estimating traveltimes and groundwater flow patterns using 3D time-lapse crosshole ERT imaging of electrical resistivity fluctuations induced by infiltrating river water,Geophysics,2012,53,6/10/2021,Semi-permanent study,Hydrogeology,Widen study site,Switzerlandand,31,124,0,3D borehole,Yes,20 x 10,0.7,18 boreholes x 10 elec,180,Syscal
Coscia et al. (2012),A filtering method to correct time-lapse 3D ERT data  improve imaging of natural aquifer dynamics,Journal of Applied Geophysics,2012,19,6/10/2021,,Hydrogeology,,Switzerland,,,,,,,,,1,
Doetsch et al. (2012),Imaging and quantifying salt-tracer transport in a riparian groundwater system by means of 3D ERT monitoring,Geophysics,2012,78,5/27/2021,,Contaminant monitoring,,Switzerland,,,,,,,,,1,
Garré et al. (2012),Evaluating experimental design of ERT for soil moisture monitoring in contour hedgerow intercropping systems,Vadose Zone Journal,2012,29,6/9/2021,,Vegetation,,Thailande,,,,,,,,,1,
Gasperikova et al. (2012),Long-term electrical resistivity monitoring of recharge-induced contaminant plume behavior,Journal of Contaminant Hydrology,2012,45,6/10/2021,Semi-permanent study,Contaminant monitoring,,USA,365,38,10,2D surface + borehole,Yes,83,0.75,1 line x 112 elec + 2 boreholes x 56 elec,224,AGI SuperSting
Genelle et al. (2012),Monitoring landfill cover by electrical resistivity tomography on an experimental site,Engineering Geology,2012,38,6/10/2021,,Contaminant monitoring,,France,,,,,,,,,1,
Greve et al. (2012),3D Cross-hole resistivity tomography to monitor water percolation during irrigation on cracking soil,Soil Research,2012,23,6/10/2021,,Vegetation,,Australia,,,,,,,,,,
Harte et al. (2012),"Time series geophysical monitoring of permanganate injections and in situ chemical oxidation of PCE, OU1 area, Savage Superfund Site, Milford, NH, USA",Journal of Contaminant Hydrology,2012,10,6/10/2021,Semi-permanent study,Contaminant monitoring,Savage Superfund Site,USA,365,9,41,2D surface,No,162,6,1 line x 28 elec,28,AGI SuperSting
Hermans et al. (2012),A shallow geothermal experiment in a sandy aquifer monitored using electric resistivity tomography,Geophysics,2012,64,5/26/2021,,Geothermy,,Belgium,,,,,,,,,1,
Hermans et al. (2012),Imaging artificial salt water infiltration using electrical resistivity tomography constrained by geostatistical data,Journal of Hydrology,2012,70,5/28/2021,,Saline intrusion,,Belgium,,,,,,,,,,
Johnson et al. (2012),Monitoring groundwater‐surface water interaction using time‐series and time‐frequency analysis of transient three‐dimensional electrical resistivity changes,Water Resources Research,2012,71,6/11/2021,Semi-permanent study,Hydrogeology,Hanford Site,USA,70,273,0,3D surface,No,20 x 150,5,4 lines of 30 elec,120,MPT-DAS-1
Johnson et al. (2012),"Characterization of a contaminated wellfield using 3D electrical resistivity tomography implemented with geostatistical, discontinuous boundary, and known conductivity constraints",Geophysics,2012,42,6/11/2021,Regular measurements,Contaminant monitoring,Hanford Site,USA,70,273,0,3D surface,No,20 x 150,5,4 lines of 30 elec,120,MPT-DAS-1
Karaoulis et al. (2012),Time-lapse joint inversion of crosswell DC resistivity and seismic data: a numerical investigation,Geophysics,2012,30,6/11/2021,Numerical work,Hydrogeology,,USA,,,,,,,,,,
Lamert et al. (2012),Feasibility of geoelectrical monitoring and multiphase modeling for process understanding of gaseous CO2 injection into a shallow aquifer,Environmental Earth Science,2012,48,6/10/2021,Artificial conditions,Gas Dynamics,Wittstock,Germany,90,350,4,3D borehole ,Yes,20 x 20 x 20,"0,75 -> 1,5",33 x 9,297,?
Lee et al. (2012),Determination of mechanisms and hydrogeological environments of Gangxianlane landslides using geoelectrical and geological data in central Taiwan,Environmental Earth Sciences,2012,10,6/8/2021,,Landslide,,Taiwan,,,,,,,,,,
Lekmine et al. (2012),Experimental study of ERT monitoring ability to measure solute dispersion,Groundwater,2012,5,6/11/2021,Laboratory setup,Contaminant monitoring,,France,,,,,,,,,,
Liu et al. (2012),Numerical forward and model tests of water inrush real-time monitoring in tunnels based on electrical resistivity tomography method,Yantu Gongcheng Xuebao/Chinese Journal of Geotechnical Engineering,2012,7,6/8/2021,,Geotechnics,,China,,,,,,,,,,
Liu et al. (2012),Research on simulation of mine water inrush real-time monitoring of using electrical resistivity constrained inversion imaging method,Meitan Xuebao/Journal of the China Coal Society,2012,17,6/8/2021,,Geotechnics,,CHina,,,,,,,,,,
Luongo et al. (2012),A Prototype System for Time-Lapse Electrical Resistivity Tomographies,International Journal of Geophysics,2012,9,6/8/2021,Semi-permanent study,Landslide,-,Italy,146,584,0,2D surface,No,47,1,48,48,Syscal
Meyerhoff et al. (2012),Visualization of conduit‐matrix conductivity differences in a karst aquifer using time‐lapse electrical resistivity,Geophysical Research Letters,2012,26,6/11/2021,,Hydrogeology,,USA,,,,,,,,,1,
Pellicer et al. (2012),Time-lapse resistivity analysis of Quaternary sediments in the Midlands of Ireland,Journal of Applied Geophysics,2012,22,6/11/2021,,Hydrogeology,,Irle,,,,,,,,,,
Perri et al. (2012),A saline tracer test monitored via both surface and cross-borehole electrical resistivity tomography: Comparison of time-lapse results,Journal of Applied Geophysics,2012,91,5/27/2021,,Contaminant monitoring,,Italy,,,,,,,,,1,
Pollock et al. (2012),Fully coupled hydrogeophysical inversion of a laboratory salt tracer experiment monitored by electrical resistivity tomography,Water Resources Research,2012,74,5/27/2021,,Contaminant monitoring,,Switzerland,,,,,,,,,1,
